Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,203444414356.0,5.24345943144e-48,2154411339.12,0.00272755058413,100GeVSommerfeld.csv,brtoeAdam.csv,200,5.88830620728e+27
1, ,0.01,1.0718913192051263e-11,233747663356.0,5.24345943144e-48,2838017310.72,0.00412805042228, , , , 
2, ,0.01,1.1489510001873107e-11,268564611605.0,5.24345943144e-48,3737374328.79,0.00624584347082, , , , 
3, ,0.01,1.2315506032928262e-11,308567579118.0,5.24345943144e-48,4919984584.69,0.00944683879467, , , , 
4, ,0.01,1.3200884008314167e-11,354529028653.0,5.24345943144e-48,6474170996.86,0.0142832823063, , , , 
5, ,0.01,1.4149912974345786e-11,407336482067.0,5.24345943144e-48,8515349124.02,0.0215843775969, , , , 
6, ,0.01,1.5167168884709242e-11,468009658483.0,5.24345943144e-48,11194113535.7,0.0326006152413, , , , 
7, ,0.01,1.6257556664437934e-11,537720165212.0,5.24345943144e-48,14706626554.1,0.0492109402722, , , , 
8, ,0.01,1.7426333860096473e-11,617814121641.0,5.24345943144e-48,19307910292.3,0.0742289945431, , , , 
9, ,0.01,1.8679135990207848e-11,709838152989.0,5.24345943144e-48,25328773095.0,0.111881656523, , , , 
10, ,0.01,2.0022003718155844e-11,815569255848.0,5.24345943144e-48,33197246681.8,0.16848162189, , , , 
11, ,0.01,2.1461411978584013e-11,937049112228.0,5.24345943144e-48,43465565101.9,0.253446928967, , , , 
12, ,0.01,2.300430119772921e-11,1.07662351472e+12,5.24345943144e-48,56843870786.4,0.380830666935, , , , 
13, ,0.01,2.465811075822604e-11,1.23698766406e+12,5.24345943144e-48,74241969558.4,0.57148230964, , , , 
14, ,0.01,2.643081486974103e-11,1.42123821384e+12,5.24345943144e-48,96820549578.0,0.856285668646, , , , 
15, ,0.01,2.833096101839318e-11,1.6329330673e+12,5.24345943144e-48,126053292145.0,1.28087582918, , , , 
16, ,0.01,3.036771118035461e-11,1.87616008091e+12,5.24345943144e-48,163801186247.0,1.91237461723, , , , 
17, ,0.01,3.255088599835057e-11,2.15561600148e+12,5.24345943144e-48,212400053502.0,2.84908908592, , , , 
18, ,0.01,3.4891012134067674e-11,2.47669716092e+12,5.24345943144e-48,274761727993.0,4.2346120574, , , , 
19, ,0.01,3.739937302478801e-11,2.8456036802e+12,5.24345943144e-48,354488451108.0,6.27714424395, , , , 
20, ,0.01,4.0088063288984646e-11,3.2694591945e+12,5.24345943144e-48,455998788529.0,9.27734318131, , , , 
21, ,0.01,4.297004704320835e-11,3.75644841159e+12,5.24345943144e-48,584661754805.0,13.6667477465, , , , 
22, ,0.01,4.605922041145113e-11,4.31597515965e+12,5.24345943144e-48,746933921029.0,20.0606107737, , , , 
23, ,0.01,4.937047852839004e-11,4.95884397646e+12,5.24345943144e-48,950492285125.0,29.3299472288, , , , 
24, ,0.01,5.2919787359584366e-11,5.69746874653e+12,5.24345943144e-48,1.20435396019e+12,42.6991779473, , , , 
25, ,0.01,5.672426068491989e-11,6.54611241486e+12,5.24345943144e-48,1.51897281115e+12,61.8751842796, , , , 
26, ,0.01,6.080224261649427e-11,7.52116240639e+12,5.24345943144e-48,1.90630370575e+12,89.2195540836, , , , 
27, ,0.01,6.517339604882421e-11,8.64144706939e+12,5.24345943144e-48,2.37982773858e+12,127.971879261, , , , 
28, ,0.01,6.985879746785235e-11,9.92859925345e+12,5.24345943144e-48,2.95453718172e+12,182.540977275, , , , 
29, ,0.01,7.48810385759003e-11,1.14074740427e+13,5.24345943144e-48,3.6468871611e+12,258.877334492, , , , 
30, ,0.01,8.026433522257174e-11,1.3106628711e+13,5.24345943144e-48,4.47473164924e+12,364.956293653, , , , 
31, ,0.01,8.603464416684492e-11,1.50588741666e+13,5.24345943144e-48,5.45727298044e+12,511.388717801, , , , 
32, ,0.01,9.221978823334341e-11,1.73019085354e+13,5.24345943144e-48,6.6150646463e+12,712.214221412, , , , 
33, ,0.01,9.884959046625586e-11,1.98790451169e+13,5.24345943144e-48,7.97011410473e+12,985.922367997, , , , 
34, ,0.01,1.0595601792776149e-10,2.28400487698e+13,5.24345943144e-48,9.54613342632e+12,1356.77205273, , , , 
35, ,0.01,1.1357333583431027e-10,2.62420968784e+13,5.24345943144e-48,1.13689794667e+13,1856.53227145, , , , 
36, ,0.01,1.217382727739662e-10,3.01508834554e+13,5.24345943144e-48,1.34673121416e+13,2526.75639611, , , , 
37, ,0.01,1.3049019780144016e-10,3.46418877026e+13,5.24345943144e-48,1.5873481346e+13,3421.81070517, , , , 
38, ,0.01,1.398713102647236e-10,3.98018315243e+13,5.24345943144e-48,1.86246336004e+13,4612.88995319, , , , 
39, ,0.01,1.4992684327860468e-10,4.57303541391e+13,5.24345943144e-48,2.17640126953e+13,6193.35121417, , , , 
40, ,0.01,1.6070528182616384e-10,5.25419361271e+13,5.24345943144e-48,2.53424180511e+13,8285.833381, , , , 
41, ,0.01,1.722585965398784e-10,6.0368110065e+13,5.24345943144e-48,2.9419782448e+13,11051.696049, , , , 
42, ,0.01,1.8464249428955463e-10,6.93600004386e+13,5.24345943144e-48,3.40668376991e+13,14703.5671356, , , , 
43, ,0.01,1.979166867853557e-10,7.96912418769e+13,5.24345943144e-48,3.93668516334e+13,19521.9369912, , , , 
44, ,0.01,2.121451784910628e-10,9.15613320607e+13,5.24345943144e-48,4.54174402059e+13,25877.136482, , , , 
45, ,0.01,2.273965752357932e-10,1.0519948405e+14,5.24345943144e-48,5.23324819831e+13,34258.3277403, , , , 
46, ,0.01,2.4374441501222216e-10,1.20869052418e+14,5.24345943144e-48,6.02441859794e+13,45311.7944816, , , , 
47, ,0.01,2.6126752255633265e-10,1.38872618667e+14,5.24345943144e-48,6.93053854151e+13,59891.3709578, , , , 
48, ,0.01,2.8005038941836253e-10,1.59557834116e+14,5.24345943144e-48,7.96921474243e+13,79125.0387621, , , , 
49, ,0.01,3.0018358135755917e-10,1.83324133096e+14,5.24345943144e-48,9.16068006412e+13,104502.649342, , , , 
50, ,0.01,3.2176417502507347e-10,2.10630446079e+14,5.24345943144e-48,1.05281488412e+14,137991.59574, , , , 
51, ,0.01,3.4489622604057533e-10,2.42004061692e+14,5.24345943144e-48,1.20982355804e+14,182189.626132, , , , 
52, ,0.01,3.696912707195032e-10,2.78050808731e+14,5.24345943144e-48,1.39014475685e+14,240526.284976, , , , 
53, ,0.01,3.9626886387014783e-10,3.19466754794e+14,5.24345943144e-48,1.59727616144e+14,317528.969143, , , , 
54, ,0.01,4.2475715525368935e-10,3.67051647447e+14,5.24345943144e-48,1.83522952043e+14,419174.127024, , , , 
