Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100,0.01,1.00E-11,2.02903E+11,5.24E-48,2143041155,0.002713156,100GeVSommerfeld.csv,brtoe.csv,200,5.85E+27
1, ,0.01,1.07E-11,2.33126E+11,5.24E-48,2823054994,0.004106287, , , , 
2, ,0.01,1.15E-11,2.6785E+11,5.24E-48,3717694170,0.006212954, , , , 
3, ,0.01,1.23E-11,3.07746E+11,5.24E-48,4894112726,0.009397162, , , , 
4, ,0.01,1.32E-11,3.53586E+11,5.24E-48,6440180093,0.014208292, , , , 
5, ,0.01,1.41E-11,4.06253E+11,5.24E-48,8470722296,0.021471259, , , , 
6, ,0.01,1.52E-11,4.66764E+11,5.24E-48,11135569244,0.032430117, , , , 
7, ,0.01,1.63E-11,5.36289E+11,5.24E-48,14629894019,0.04895418, , , , 
8, ,0.01,1.74E-11,6.1617E+11,5.24E-48,19207442761,0.073842749, , , , 
9, ,0.01,1.87E-11,7.07949E+11,5.24E-48,25197383595,0.111301286, , , , 
10, ,0.01,2.00E-11,8.13399E+11,5.24E-48,33025648009,0.16761073, , , , 
11, ,0.01,2.15E-11,9.34556E+11,5.24E-48,43241792777,0.252142117, , , , 
12, ,0.01,2.30E-11,1.07E+12,5.24E-48,56552564859,0.378879036, , , , 
13, ,0.01,2.47E-11,1.23E+12,5.24E-48,73863488825,0.56856893, , , , 
14, ,0.01,2.64E-11,1.42E+12,5.24E-48,96329890608,0.851946257, , , , 
15, ,0.01,2.83E-11,1.63E+12,5.24E-48,1.25419E+11,1.274428372, , , , 
16, ,0.01,3.04E-11,1.87E+12,5.24E-48,1.62983E+11,1.90282175, , , , 
17, ,0.01,3.26E-11,2.15E+12,5.24E-48,2.11348E+11,2.834979577, , , , 
18, ,0.01,3.49E-11,2.47E+12,5.24E-48,2.73414E+11,4.213844599, , , , 
19, ,0.01,3.74E-11,2.84E+12,5.24E-48,3.52769E+11,6.246695795, , , , 
20, ,0.01,4.01E-11,3.26E+12,5.24E-48,4.53814E+11,9.232892447, , , , 
21, ,0.01,4.30E-11,3.75E+12,5.24E-48,5.81899E+11,13.60216136, , , , 
22, ,0.01,4.61E-11,4.30E+12,5.24E-48,7.43458E+11,19.96725104, , , , 
23, ,0.01,4.94E-11,4.95E+12,5.24E-48,9.46143E+11,29.19575113, , , , 
24, ,0.01,5.29E-11,5.68E+12,5.24E-48,1.20E+12,42.50744551, , , , 
25, ,0.01,5.67E-11,6.53E+12,5.24E-48,1.51E+12,61.6030116, , , , 
26, ,0.01,6.08E-11,7.50E+12,5.24E-48,1.90E+12,88.83582226, , , , 
27, ,0.01,6.52E-11,8.62E+12,5.24E-48,2.37E+12,127.4347109, , , , 
28, ,0.01,6.99E-11,9.90E+12,5.24E-48,2.94E+12,181.794537, , , , 
29, ,0.01,7.49E-11,1.14E+13,5.24E-48,3.63E+12,257.847834, , , , 
30, ,0.01,8.03E-11,1.31E+13,5.24E-48,4.46E+12,363.5469771, , , , 
31, ,0.01,8.60E-11,1.50E+13,5.24E-48,5.44E+12,509.4735683, , , , 
32, ,0.01,9.22E-11,1.73E+13,5.24E-48,6.59E+12,709.6299369, , , , 
33, ,0.01,9.88E-11,1.98E+13,5.24E-48,7.94E+12,982.4580022, , , , 
34, ,0.01,1.06E-10,2.28E+13,5.24E-48,9.51E+12,1352.155469, , , , 
35, ,0.01,1.14E-10,2.62E+13,5.24E-48,1.13E+13,1850.412142, , , , 
36, ,0.01,1.22E-10,3.01E+13,5.24E-48,1.34E+13,2518.67813, , , , 
37, ,0.01,1.30E-10,3.45E+13,5.24E-48,1.58E+13,3411.184026, , , , 
38, ,0.01,1.40E-10,3.97E+13,5.24E-48,1.86E+13,4598.945227, , , , 
39, ,0.01,1.50E-10,4.56E+13,5.24E-48,2.17E+13,6175.080752, , , , 
40, ,0.01,1.61E-10,5.24E+13,5.24E-48,2.53E+13,8261.91277, , , , 
41, ,0.01,1.72E-10,6.02E+13,5.24E-48,2.93E+13,11020.37926, , , , 
42, ,0.01,1.85E-10,6.92E+13,5.24E-48,3.40E+13,14662.54718, , , , 
43, ,0.01,1.98E-10,7.95E+13,5.24E-48,3.93E+13,19468.16164, , , , 
