Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,None,None,None,3.07934953711e-06,100GeVSommerfeld.csv,brtoe.csv,100,5.851659530104901e+27
1, ,0.01,1.1497569953977356e-11,None,None,None,7.11373723686e-06, , , , 
2, ,0.01,1.3219411484660286e-11,None,None,None,1.64325949305e-05, , , , 
3, ,0.01,1.519911082952933e-11,None,None,None,3.79625514525e-05, , , , 
4, ,0.01,1.747528400007683e-11,None,None,None,8.76926629043e-05, , , , 
5, ,0.01,2.0092330025650463e-11,None,None,None,0.000202577762218, , , , 
6, ,0.01,2.3101297000831577e-11,None,None,None,0.000467970258972, , , , 
7, ,0.01,2.6560877829466842e-11,None,None,None,0.00108102135911, , , , 
8, ,0.01,3.0538555088334125e-11,None,None,None,0.00249720486567, , , , 
9, ,0.01,3.511191734215128e-11,None,None,None,0.00576846844322, , , , 
10, ,0.01,4.03701725859655e-11,None,None,None,0.0133246850548, , , , 
11, ,0.01,4.641588833612773e-11,None,None,None,0.0307780503863, , , , 
12, ,0.01,5.336699231206302e-11,None,None,None,0.0710902499476, , , , 
13, ,0.01,6.135907273413164e-11,None,None,None,0.164193119357, , , , 
14, ,0.01,7.05480231071863e-11,None,None,None,0.379202967537, , , , 
15, ,0.01,8.111308307896889e-11,None,None,None,0.87569122066, , , , 
16, ,0.01,9.32603346883218e-11,None,None,None,2.02198692964, , , , 
17, ,0.01,1.0722672220103252e-10,None,None,None,4.668092286, , , , 
18, ,0.01,1.2328467394420634e-10,None,None,None,10.7748663675, , , , 
19, ,0.01,1.4174741629268076e-10,None,None,None,24.8637874781, , , , 
20, ,0.01,1.629750834620647e-10,None,None,None,57.3546194451, , , , 
21, ,0.01,1.8738174228603868e-10,None,None,None,132.241038345, , , , 
22, ,0.01,2.154434690031887e-10,None,None,None,304.716268964, , , , 
23, ,0.01,2.477076355991714e-10,None,None,None,701.571295144, , , , 
24, ,0.01,2.8480358684358053e-10,None,None,None,1613.55273224, , , , 
25, ,0.01,3.274549162877732e-10,None,None,None,3705.81578787, , , , 
26, ,0.01,3.764935806792472e-10,None,None,None,8495.40440504, , , , 
27, ,0.01,4.328761281083062e-10,None,None,None,19428.4300608, , , , 
28, ,0.01,4.977023564332114e-10,None,None,None,44292.2520421, , , , 
29, ,0.01,5.722367659350221e-10,None,None,None,100565.532226, , , , 
30, ,0.01,6.579332246575682e-10,None,None,None,227138.168704, , , , 
31, ,0.01,7.564633275546291e-10,None,None,None,509581.125909, , , , 
32, ,0.01,8.697490026177835e-10,None,None,None,1133548.65268, , , , 
33, ,0.01,1e-09,None,None,None,2494844.17699, , , , 
34, ,0.01,1.1497569953977357e-09,None,None,None,5419461.31742, , , , 
35, ,0.01,1.3219411484660288e-09,None,None,None,11587933.2702, , , , 
36, ,0.01,1.519911082952933e-09,None,None,None,24321240.8882, , , , 
37, ,0.01,1.747528400007683e-09,None,None,None,49976377.4629, , , , 
38, ,0.01,2.009233002565046e-09,None,None,None,100331666.932, , , , 
39, ,0.01,2.310129700083158e-09,None,None,None,196558190.019, , , , 
40, ,0.01,2.656087782946684e-09,None,None,None,375788783.143, , , , 
41, ,0.01,3.0538555088334124e-09,None,None,None,702138935.57, , , , 
42, ,0.01,3.5111917342151277e-09,None,None,None,1285662388.9, , , , 
43, ,0.01,4.0370172585965495e-09,None,None,None,2315628718.42, , , , 
44, ,0.01,4.641588833612792e-09,None,None,None,4119409744.59, , , , 
45, ,0.01,5.336699231206302e-09,None,None,None,7266414280.98, , , , 
46, ,0.01,6.135907273413188e-09,None,None,None,12750281098.0, , , , 
47, ,0.01,7.054802310718632e-09,None,None,None,22306265818.1, , , , 
48, ,0.01,8.111308307896891e-09,None,None,None,38962065061.2, , , , 
49, ,0.01,9.32603346883218e-09,None,None,None,67992116124.6, , , , 
50, ,0.01,1.0722672220103233e-08,None,None,None,118568876010.0, , , , 
51, ,0.01,1.232846739442066e-08,None,None,None,206614063474.0, , , , 
52, ,0.01,1.4174741629268047e-08,None,None,None,359703889592.0, , , , 
53, ,0.01,1.6297508346206466e-08,None,None,None,625463089159.0, , , , 
54, ,0.01,1.8738174228603867e-08,None,None,None,1.08582600549e+12, , , , 
55, ,0.01,2.1544346900318866e-08,None,None,None,1.88103205879e+12, , , , 
56, ,0.01,2.4770763559917138e-08,None,None,None,3.24947014262e+12, , , , 
57, ,0.01,2.8480358684358055e-08,None,None,None,5.59263735026e+12, , , , 
58, ,0.01,3.274549162877732e-08,None,None,None,9.57832288517e+12, , , , 
59, ,0.01,3.764935806792472e-08,None,None,None,1.62983951297e+13, , , , 
60, ,0.01,4.328761281083061e-08,None,None,None,2.74963923075e+13, , , , 
61, ,0.01,4.9770235643321133e-08,None,None,None,4.58651717088e+13, , , , 
62, ,0.01,5.72236765935022e-08,None,None,None,7.53670764512e+13, , , , 
63, ,0.01,6.579332246575682e-08,None,None,None,1.21416090476e+14, , , , 
64, ,0.01,7.56463327554629e-08,None,None,None,1.90544644581e+14, , , , 
65, ,0.01,8.697490026177834e-08,None,None,None,2.88856000478e+14, , , , 
66, ,0.01,1e-07,None,None,None,4.18301598245e+14, , , , 
67, ,0.01,1.1497569953977356e-07,None,None,None,5.70193246798e+14, , , , 
68, ,0.01,1.3219411484660288e-07,None,None,None,7.17496584421e+14, , , , 
69, ,0.01,1.519911082952933e-07,None,None,None,8.12269742821e+14, , , , 
