Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,202903023748.0,5.24345943144e-48,2143041154.9,0.00271315558349,100GeVSommerfeldNew.csv,brtoe.csv,40,5.87263670028e+27
1, ,0.01,1.4251026703029965e-11,412079326265.0,5.24345943144e-48,8711949793.95,0.0223992194311, , , , 
2, ,0.01,2.030917620904739e-11,836899164922.0,5.24345943144e-48,34906002510.3,0.182269243334, , , , 
3, ,0.01,2.8942661247167522e-11,1.69967326096e+12,5.24345943144e-48,135976470242.0,1.44200757006, , , , 
4, ,0.01,4.124626382901348e-11,3.45189637546e+12,5.24345943144e-48,502750575966.0,10.8280488856, , , , 
5, ,0.01,5.878016072274922e-11,7.01051717447e+12,5.24345943144e-48,1.70028013274e+12,74.372088509, , , , 
6, ,0.01,8.376776400682924e-11,1.42377828613e+13,5.24345943144e-48,5.04060965404e+12,447.78114266, , , , 
7, ,0.01,1.1937766417144355e-10,2.89157640956e+13,5.24345943144e-48,1.28043654297e+13,2310.10823304, , , , 
8, ,0.01,1.7012542798525856e-10,5.87255348237e+13,5.24345943144e-48,2.85667679872e+13,10467.1209872, , , , 
9, ,0.01,2.4244620170823307e-10,1.1926672347e+14,5.24345943144e-48,5.9436419547e+13,44229.3084311, , , , 
10, ,0.01,3.455107294592218e-10,2.42220890284e+14,5.24345943144e-48,1.21090841437e+14,183003.371297, , , , 
11, ,0.01,4.923882631706752e-10,4.91930674228e+14,5.24345943144e-48,2.45964796802e+14,754933.904391, , , , 
12, ,0.01,7.017038286703836e-10,9.99070674554e+14,5.24345943144e-48,4.99535334883e+14,3113767.10533, , , , 
13, ,0.01,1e-09,2.02903023748e+15,5.24345943144e-48,1.01451511874e+15,12842622.7451, , , , 
14, ,0.01,1.4251026703029963e-09,4.12079326265e+15,5.24345943144e-48,2.06039663132e+15,52966807.2817, , , , 
15, ,0.01,2.0309176209047387e-09,8.36899164922e+15,5.24345943144e-48,4.18449582461e+15,218432996.407, , , , 
16, ,0.01,2.894266124716752e-09,1.69967326096e+16,5.24345943144e-48,8.4983663048e+15,900658924.607, , , , 
17, ,0.01,4.1246263829013485e-09,3.45189637546e+16,5.24345943144e-48,1.72594818773e+16,3712406830.46, , , , 
18, ,0.01,5.878016072274924e-09,7.01051717447e+16,5.24345943144e-48,3.50525858723e+16,15291581793.4, , , , 
19, ,0.01,8.376776400682925e-09,1.42377828613e+17,5.24345943144e-48,7.11889143064e+16,62898939396.0, , , , 
20, ,0.01,1.1937766417144358e-08,2.89157640956e+17,5.24345943144e-48,1.44578820478e+17,257990444730.0, , , , 
21, ,0.01,1.701254279852589e-08,5.87255348237e+17,5.24345943144e-48,2.93627674118e+17,1.05211848065e+12, , , , 
22, ,0.01,2.4244620170823313e-08,1.1926672347e+18,5.24345943144e-48,5.96333617352e+17,4.24082024118e+12, , , , 
23, ,0.01,3.4551072945922184e-08,2.42220890284e+18,5.24345943144e-48,1.21110445142e+18,1.66926974093e+13, , , , 
24, ,0.01,4.923882631706741e-08,4.91930674228e+18,5.24345943144e-48,2.45965337114e+18,6.26134083987e+13, , , , 
25, ,0.01,7.017038286703835e-08,9.99070674554e+18,5.24345943144e-48,4.99535337277e+18,2.12955675704e+14, , , , 
26, ,0.01,1e-07,2.02903023748e+19,5.24345943144e-48,1.01451511874e+19,5.93688459889e+14, , , , 
27, ,0.01,1.4251026703029992e-07,4.12079326265e+19,5.24345943144e-48,2.06039663132e+19,1.10523138674e+15, , , , 
28, ,0.01,2.0309176209047388e-07,8.36899164922e+19,5.24345943144e-48,4.18449582461e+19,9.06099877151e+14, , , , 
29, ,0.01,2.8942661247167523e-07,1.69967326096e+20,5.24345943144e-48,8.4983663048e+19,1.40457027818e+14, , , , 
30, ,0.01,4.124626382901357e-07,3.45189637546e+20,5.24345943144e-48,1.72594818773e+20,739325266495.0, , , , 
31, ,0.01,5.87801607227491e-07,7.01051717447e+20,5.24345943144e-48,3.50525858723e+20,4041631.6949, , , , 
32, ,0.01,8.376776400682923e-07,1.42377828613e+21,5.24345943144e-48,7.11889143064e+20,1.92704373498e-05, , , , 
33, ,0.01,1.193776641714438e-06,2.89157640956e+21,5.24345943144e-48,1.44578820478e+21,4.54060060293e-29, , , , 
34, ,0.01,1.701254279852589e-06,5.87255348237e+21,5.24345943144e-48,2.93627674118e+21,1.08802499859e-77, , , , 
35, ,0.01,2.424462017082331e-06,1.1926672347e+22,5.24345943144e-48,5.96333617352e+21,4.55073244796e-177, , , , 
36, ,0.01,3.455107294592218e-06,2.42220890284e+22,5.24345943144e-48,1.21110445142e+22,0.0, , , , 
37, ,0.01,4.923882631706742e-06,4.91930674228e+22,5.24345943144e-48,2.45965337114e+22,0.0, , , , 
38, ,0.01,7.017038286703838e-06,9.99070674554e+22,5.24345943144e-48,4.99535337277e+22,0.0, , , , 
39, ,0.01,1e-05,2.02903023748e+23,5.24345943144e-48,1.01451511874e+23,0.0, , , , 
40, ,0.011937766417144365,1.0000000000000001e-11,99907067561.6,1.24073029647e-47,1226569284.55,0.00221301508771, , , , 
