Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,202903023748.0,5.24345943144e-48,2143041154.9,0.00271315558349,100GeVSommerfeld.csv,brtoe.csv,200,5.87263670028e+27
1, ,0.01,1.0718913192051263e-11,233125632076.0,5.24345943144e-48,2823054994.25,0.00410628691978, , , , 
2, ,0.01,1.1489510001873107e-11,267849928143.0,5.24345943144e-48,3717694169.88,0.0062129542868, , , , 
3, ,0.01,1.2315506032928262e-11,307746442841.0,5.24345943144e-48,4894112725.58,0.00939716236213, , , , 
4, ,0.01,1.3200884008314167e-11,353585583306.0,5.24345943144e-48,6440180092.61,0.0142082917505, , , , 
5, ,0.01,1.4149912974345786e-11,406252509591.0,5.24345943144e-48,8470722295.76,0.0214712592388, , , , 
6, ,0.01,1.5167168884709242e-11,466764227223.0,5.24345943144e-48,11135569243.7,0.032430116708, , , , 
7, ,0.01,1.6257556664437934e-11,536289225720.0,5.24345943144e-48,14629894019.0,0.048954179812, , , , 
8, ,0.01,1.7426333860096473e-11,616170042280.0,5.24345943144e-48,19207442761.1,0.0738427485065, , , , 
9, ,0.01,1.8679135990207848e-11,707949186363.0,5.24345943144e-48,25197383595.2,0.111301285937, , , , 
10, ,0.01,2.0022003718155844e-11,813398925754.0,5.24345943144e-48,33025648009.0,0.167610729705, , , , 
11, ,0.01,2.1461411978584013e-11,934555509296.0,5.24345943144e-48,43241792776.8,0.252142116561, , , , 
12, ,0.01,2.300430119772921e-11,1.07375848714e+12,5.24345943144e-48,56552564859.0,0.378879036459, , , , 
13, ,0.01,2.465811075822604e-11,1.23369588776e+12,5.24345943144e-48,73863488824.8,0.568568929984, , , , 
14, ,0.01,2.643081486974103e-11,1.41745612416e+12,5.24345943144e-48,96329890607.6,0.85194625675, , , , 
15, ,0.01,2.833096101839318e-11,1.62858763158e+12,5.24345943144e-48,125418786305.0,1.27442837208, , , , 
16, ,0.01,3.036771118035461e-11,1.8711673882e+12,5.24345943144e-48,162982951714.0,1.9028217502, , , , 
17, ,0.01,3.255088599835057e-11,2.14987964218e+12,5.24345943144e-48,211348187294.0,2.83497957661, , , , 
18, ,0.01,3.4891012134067674e-11,2.47010636517e+12,5.24345943144e-48,273414236704.0,4.21384459861, , , , 
19, ,0.01,3.739937302478801e-11,2.83803117883e+12,5.24345943144e-48,352768939347.0,6.24669579544, , , , 
20, ,0.01,4.0088063288984646e-11,3.26075876148e+12,5.24345943144e-48,453813951714.0,9.23289244714, , , , 
21, ,0.01,4.297004704320835e-11,3.74645204037e+12,5.24345943144e-48,581898757186.0,13.6021613576, , , , 
22, ,0.01,4.605922041145113e-11,4.30448981894e+12,5.24345943144e-48,743457778191.0,19.9672510447, , , , 
23, ,0.01,4.937047852839004e-11,4.94564788277e+12,5.24345943144e-48,946143407351.0,29.195751131, , , , 
24, ,0.01,5.2919787359584366e-11,5.68230708148e+12,5.24345943144e-48,1.1989460406e+12,42.5074455091, , , , 
25, ,0.01,5.672426068491989e-11,6.52869240464e+12,5.24345943144e-48,1.51229124873e+12,61.6030115962, , , , 
26, ,0.01,6.080224261649427e-11,7.50114766823e+12,5.24345943144e-48,1.89810472511e+12,88.8358222605, , , , 
27, ,0.01,6.517339604882421e-11,8.61845111596e+12,5.24345943144e-48,2.36983829219e+12,127.434710874, , , , 
28, ,0.01,6.985879746785235e-11,9.90217802975e+12,5.24345943144e-48,2.94245558981e+12,181.794536984, , , , 
29, ,0.01,7.48810385759003e-11,1.13771173513e+13,5.24345943144e-48,3.63238426124e+12,257.847834019, , , , 
30, ,0.01,8.026433522257174e-11,1.307175036e+13,5.24345943144e-48,4.45745200896e+12,363.54697708, , , , 
31, ,0.01,8.603464416684492e-11,1.50188006504e+13,5.24345943144e-48,5.4368355059e+12,509.47356825, , , , 
32, ,0.01,9.221978823334341e-11,1.72558660289e+13,5.24345943144e-48,6.59106174293e+12,709.629936896, , , , 
33, ,0.01,9.884959046625586e-11,1.98261445329e+13,5.24345943144e-48,7.94210846082e+12,982.458002193, , , , 
34, ,0.01,1.0595601792776149e-10,2.2779268591e+13,5.24345943144e-48,9.51365153572e+12,1352.1554693, , , , 
35, ,0.01,1.1357333583431027e-10,2.61722634312e+13,5.24345943144e-48,1.13315011938e+13,1850.41214226, , , , 
36, ,0.01,1.217382727739662e-10,3.00706482464e+13,5.24345943144e-48,1.34242559389e+13,2518.6781297, , , , 
37, ,0.01,1.3049019780144016e-10,3.4549701379e+13,5.24345943144e-48,1.58241851074e+13,3411.18402578, , , , 
38, ,0.01,1.398713102647236e-10,3.96959139555e+13,5.24345943144e-48,1.85683314933e+13,4598.94522655, , , , 
39, ,0.01,1.4992684327860468e-10,4.56086600426e+13,5.24345943144e-48,2.16998085906e+13,6175.08075205, , , , 
40, ,0.01,1.6070528182616384e-10,5.24021155731e+13,5.24345943144e-48,2.52692562953e+13,8261.91277021, , , , 
41, ,0.01,1.722585965398784e-10,6.02074630997e+13,5.24345943144e-48,2.93364166752e+13,11020.3792579, , , , 
42, ,0.01,1.8464249428955463e-10,6.91754249471e+13,5.24345943144e-48,3.39717981705e+13,14662.5471823, , , , 
43, ,0.01,1.979166867853557e-10,7.94791736813e+13,5.24345943144e-48,3.92584112439e+13,19468.1616355, , , , 
44, ,0.01,2.121451784910628e-10,9.13176760952e+13,5.24345943144e-48,4.52935788694e+13,25806.5649858, , , , 
45, ,0.01,2.273965752357932e-10,1.04919535284e+14,5.24345943144e-48,5.21908486476e+13,34165.6105398, , , , 
46, ,0.01,2.4374441501222216e-10,1.20547405004e+14,5.24345943144e-48,6.00820570796e+13,45189.851571, , , , 
47, ,0.01,2.6126752255633265e-10,1.3850306155e+14,5.24345943144e-48,6.91196181898e+13,59730.8372022, , , , 
48, ,0.01,2.8005038941836253e-10,1.59133231096e+14,5.24345943144e-48,7.94791262391e+13,78913.5334873, , , , 
49, ,0.01,3.0018358135755917e-10,1.82836285031e+14,5.24345943144e-48,9.13623742873e+13,104223.814131, , , , 
50, ,0.01,3.2176417502507347e-10,2.10069932557e+14,5.24345943144e-48,1.05000896294e+14,137623.825919, , , , 
51, ,0.01,3.4489622604057533e-10,2.41360059121e+14,5.24345943144e-48,1.20660140961e+14,181704.396684, , , , 
52, ,0.01,3.696912707195032e-10,2.77310881332e+14,5.24345943144e-48,1.38644382662e+14,239885.940871, , , , 
53, ,0.01,3.9626886387014783e-10,3.18616614469e+14,5.24345943144e-48,1.59302471754e+14,316683.807466, , , , 
54, ,0.01,4.2475715525368935e-10,3.66074877871e+14,5.24345943144e-48,1.8303452702e+14,418058.543766, , , , 
55, ,0.01,4.552935074866938e-10,4.20602097073e+14,5.24345943144e-48,2.10299680054e+14,551878.286372, , , , 
56, ,0.01,4.880251583654433e-10,4.83251200113e+14,5.24345943144e-48,2.4162499696e+14,728529.297245, , , , 
57, ,0.01,5.231099308056258e-10,5.55231949712e+14,5.24345943144e-48,2.77615726762e+14,961721.974496, , , , 
58, ,0.01,5.60716993820547e-10,6.37934303957e+14,5.24345943144e-48,3.18967057185e+14,1269554.79665, , , , 
59, ,0.01,6.010276782070387e-10,7.32955256585e+14,5.24345943144e-48,3.6647759483e+14,1675918.84244, , , , 
60, ,0.01,6.442363508721371e-10,8.42129675146e+14,5.24345943144e-48,4.21064826721e+14,2212351.98506, , , , 
61, ,0.01,6.905513520162316e-10,9.67565732547e+14,5.24345943144e-48,4.8378286306e+14,2920486.28354, , , , 
62, ,0.01,7.401959996915653e-10,1.11168561616e+15,5.24345943144e-48,5.55842807215e+14,3855278.98315, , , , 
63, ,0.01,7.934096665797492e-10,1.27727230058e+15,5.24345943144e-48,6.3863615008e+14,5089277.01592, , , , 
64, ,0.01,8.504489341802668e-10,1.46752328726e+15,5.24345943144e-48,7.33761643585e+14,6718247.03246, , , , 
65, ,0.01,9.115888299750837e-10,1.68611234869e+15,5.24345943144e-48,8.43056174339e+14,8868606.24385, , , , 
66, ,0.01,9.771241535346502e-10,1.93726046946e+15,5.24345943144e-48,9.68630234729e+14,11707232.3503, , , , 
67, ,0.01,1.0473708979594486e-09,2.22581735401e+15,5.24345943144e-48,1.11290867701e+15,15454411.9713, , , , 
68, ,0.01,1.1226677735108114e-09,2.55735507512e+15,5.24345943144e-48,1.27867753756e+15,20400932.7492, , , , 
69, ,0.01,1.2033778407775904e-09,2.9382756714e+15,5.24345943144e-48,1.4691378357e+15,26930644.6925, , , , 
70, ,0.01,1.289890261253308e-09,3.37593477148e+15,5.24345943144e-48,1.68796738574e+15,35550239.986, , , , 
71, ,0.01,1.3826221737646535e-09,3.87878363226e+15,5.24345943144e-48,1.93939181613e+15,46928561.7677, , , , 
72, ,0.01,1.4820207057988602e-09,4.45653233379e+15,5.24345943144e-48,2.2282661669e+15,61948489.0978, , , , 
73, ,0.01,1.5885651294280526e-09,5.12033728228e+15,5.24345943144e-48,2.56016864114e+15,81775417.6297, , , , 
74, ,0.01,1.702769172225898e-09,5.88301664177e+15,5.24345943144e-48,2.94150832089e+15,107947648.817, , , , 
75, ,0.01,1.825183494319039e-09,6.75929785468e+15,5.24345943144e-48,3.37964892734e+15,142495690.55, , , , 
76, ,0.01,1.956398343517065e-09,7.7661020307e+15,5.24345943144e-48,3.88305101535e+15,188099705.597, , , , 
77, ,0.01,2.0970464013232305e-09,8.92287069573e+15,5.24345943144e-48,4.46143534787e+15,248297316.123, , , , 
78, ,0.01,2.2478058335487303e-09,1.02519412104e+16,5.24345943144e-48,5.1259706052e+15,327757839.85, , , , 
79, ,0.01,2.409403560239527e-09,1.17789781076e+16,5.24345943144e-48,5.88948905378e+15,432644196.168, , , , 
80, ,0.01,2.582618760682675e-09,1.35334686779e+16,5.24345943144e-48,6.76673433893e+15,571090478.031, , , , 
81, ,0.01,2.768286630392061e-09,1.55492923734e+16,5.24345943144e-48,7.77464618671e+15,753832121.628, , , , 
82, ,0.01,2.9673024081888724e-09,1.78653750247e+16,5.24345943144e-48,8.93268751233e+15,995037389.065, , , , 
83, ,0.01,3.180625692794119e-09,2.05264405033e+16,5.24345943144e-48,1.02632202516e+16,1313404388.24, , , , 
84, ,0.01,3.409285069746807e-09,2.35838743465e+16,5.24345943144e-48,1.17919371733e+16,1733608307.37, , , , 
85, ,0.01,3.654383070957262e-09,2.70967160188e+16,5.24345943144e-48,1.35483580094e+16,2288210499.57, , , , 
86, ,0.01,3.917101490809261e-09,3.11327989715e+16,5.24345943144e-48,1.55663994858e+16,3020176516.33, , , , 
