Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,10000.0,0.01,1e-11,1086188785.71,6.19540694528e-41,543094392.857,6.86574230415e-06,10TeVSommerfeld.csv,brtoeAdam.csv,200,3.14376396395e+23
1, ,0.01,1.0718913192051263e-11,1247977691.74,6.19540694528e-41,623988845.869,9.03719782049e-06, , , , 
2, ,0.01,1.1489510001873107e-11,1433865217.13,6.19540694528e-41,716932608.567,1.20551843563e-05, , , , 
3, ,0.01,1.2315506032928262e-11,1647440875.36,6.19540694528e-41,823720437.679,1.58728330759e-05, , , , 
4, ,0.01,1.3200884008314167e-11,1892828841.49,6.19540694528e-41,946414420.747,2.09087855982e-05, , , , 
5, ,0.01,1.4149912974345786e-11,2174767590.62,6.19540694528e-41,1087383795.31,2.76266456446e-05, , , , 
6, ,0.01,1.5167168884709242e-11,2498701398.41,6.19540694528e-41,1249350699.21,3.63419030358e-05, , , , 
7, ,0.01,1.6257556664437934e-11,2870885470.88,6.19540694528e-41,1435442735.44,4.80976074885e-05, , , , 
8, ,0.01,1.7426333860096473e-11,3298506733.19,6.19540694528e-41,1649253366.59,6.33587604181e-05, , , , 
9, ,0.01,1.8679135990207848e-11,3789822610.22,6.19540694528e-41,1894911305.11,8.37271565977e-05, , , , 
10, ,0.01,2.0022003718155844e-11,4354320478.55,6.19540694528e-41,2177160239.27,0.000110628160363, , , , 
11, ,0.01,2.1461411978584013e-11,5002900868.96,6.19540694528e-41,2501450434.48,0.000145834563675, , , , 
12, ,0.01,2.300430119772921e-11,5748087957.23,6.19540694528e-41,2874043978.62,0.000192602095194, , , , 
13, ,0.01,2.465811075822604e-11,6604271407.62,6.19540694528e-41,3302135703.81,0.000254119161052, , , , 
14, ,0.01,2.643081486974103e-11,7587984239.3,6.19540694528e-41,3793992119.65,0.000335742750764, , , , 
15, ,0.01,2.8330961018393178e-11,8718222081.15,6.19540694528e-41,4359111040.57,0.000442999487625, , , , 
16, ,0.01,3.036771118035461e-11,10016809980.0,6.19540694528e-41,5008404990.0,0.000584594751055, , , , 
17, ,0.01,3.255088599835057e-11,11508823845.2,6.19540694528e-41,5754411922.6,0.000771962251582, , , , 
18, ,0.01,3.4891012134067674e-11,13223074667.9,6.19540694528e-41,6611537333.96,0.00101921791595, , , , 
19, ,0.01,3.739937302478801e-11,15192664865.3,6.19540694528e-41,7596332432.63,0.00134538087071, , , , 
20, ,0.01,4.0088063288984646e-11,17455627492.4,6.19540694528e-41,8727813746.22,0.00177608992632, , , , 
21, ,0.01,4.297004704320835e-11,20055660666.3,6.19540694528e-41,10027830333.2,0.00234464400862, , , , 
22, ,0.01,4.605922041145113e-11,23042971382.0,6.19540694528e-41,11521485691.0,0.0030940744359, , , , 
23, ,0.01,4.937047852839004e-11,26475245016.7,6.19540694528e-41,13237622508.3,0.00408623121262, , , , 
24, ,0.01,5.2919787359584366e-11,30418759242.1,6.19540694528e-41,15209379621.0,0.00539304441292, , , , 
25, ,0.01,5.672426068491989e-11,34949663855.6,6.19540694528e-41,17474831927.8,0.00711861023891, , , , 
26, ,0.01,6.080224261649427e-11,40155451243.2,6.19540694528e-41,20077725621.6,0.00939628704175, , , , 
27, ,0.01,6.517339604882421e-11,46136645868.8,6.19540694528e-41,23068322934.4,0.0124040706378, , , , 
28, ,0.01,6.985879746785235e-11,53008745416.2,6.19540694528e-41,26504372708.1,0.0163759195588, , , , 
29, ,0.01,7.48810385759003e-11,60904451064.7,6.19540694528e-41,30452225532.3,0.021614599108, , , , 
30, ,0.01,8.026433522257174e-11,69976229966.6,6.19540694528e-41,34988114983.3,0.0285358284502, , , , 
31, ,0.01,8.603464416684492e-11,80399259409.5,6.19540694528e-41,40199629704.7,0.0376709045988, , , , 
32, ,0.01,9.221978823334341e-11,92374809512.8,6.19540694528e-41,46187404756.4,0.0497275586495, , , , 
33, ,0.01,9.884959046625586e-11,106134129782.0,6.19540694528e-41,53067064890.9,0.0656473905841, , , , 
34, ,0.01,1.0595601792776149e-10,121942914567.0,6.19540694528e-41,60971457283.5,0.0866582849614, , , , 
35, ,0.01,1.1357333583431027e-10,140106433657.0,6.19540694528e-41,70053216828.7,0.114389266217, , , , 
36, ,0.01,1.217382727739662e-10,160975427083.0,6.19540694528e-41,80487713541.7,0.151007459317, , , , 
37, ,0.01,1.3049019780144016e-10,184952877953.0,6.19540694528e-41,92476438976.5,0.199344727896, , , , 
38, ,0.01,1.398713102647236e-10,212501794112.0,6.19540694528e-41,106250897056.0,0.26315231857, , , , 
39, ,0.01,1.4992684327860468e-10,244154148886.0,6.19540694528e-41,122077074443.0,0.347389084615, , , , 
40, ,0.01,1.6070528182616384e-10,280521153563.0,6.19540694528e-41,140260576781.0,0.458594132065, , , , 
41, ,0.01,1.722585965398784e-10,322305059959.0,6.19540694528e-41,161152529980.0,0.605386659741, , , , 
42, ,0.01,1.8464249428955463e-10,370312721006.0,6.19540694528e-41,185156360503.0,0.799142471417, , , , 
43, ,0.01,1.9791668678535569e-10,425471171182.0,6.19540694528e-41,212735585591.0,1.05494231243, , , , 
44, ,0.01,2.121451784910628e-10,488845527680.0,6.19540694528e-41,244422763840.0,1.39264509206, , , , 
45, ,0.01,2.273965752357932e-10,561659557965.0,6.19540694528e-41,280829778983.0,1.83839383681, , , , 
46, ,0.01,2.4374441501222216e-10,645319310889.0,6.19540694528e-41,322659655444.0,2.42686413973, , , , 
47, ,0.01,2.6126752255633265e-10,741440267686.0,6.19540694528e-41,370720133843.0,3.20363578634, , , , 
48, ,0.01,2.8005038941836253e-10,851878537137.0,6.19540694528e-41,425939268568.0,4.2290645617, , , , 
