Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,None,None,None,None,100GeVSommerfeld.csv,brtoe.csv,100,5.851659530104901e+27
1, ,0.01,1.1497569953977356e-11,None,None,None,None, , , , 
2, ,0.01,1.3219411484660286e-11,None,None,None,None, , , , 
3, ,0.01,1.519911082952933e-11,None,None,None,None, , , , 
4, ,0.01,1.747528400007683e-11,None,None,None,None, , , , 
5, ,0.01,2.0092330025650463e-11,None,None,None,None, , , , 
6, ,0.01,2.3101297000831577e-11,None,None,None,None, , , , 
7, ,0.01,2.6560877829466842e-11,None,None,None,None, , , , 
8, ,0.01,3.0538555088334125e-11,None,None,None,None, , , , 
9, ,0.01,3.511191734215128e-11,None,None,None,None, , , , 
10, ,0.01,4.03701725859655e-11,None,None,None,None, , , , 
11, ,0.01,4.641588833612773e-11,None,None,None,None, , , , 
12, ,0.01,5.336699231206302e-11,None,None,None,None, , , , 
13, ,0.01,6.135907273413164e-11,None,None,None,None, , , , 
14, ,0.01,7.05480231071863e-11,None,None,None,None, , , , 
15, ,0.01,8.111308307896889e-11,None,None,None,None, , , , 
16, ,0.01,9.32603346883218e-11,None,None,None,None, , , , 
17, ,0.01,1.0722672220103252e-10,None,None,None,None, , , , 
18, ,0.01,1.2328467394420634e-10,None,None,None,None, , , , 
19, ,0.01,1.4174741629268076e-10,None,None,None,None, , , , 
20, ,0.01,1.629750834620647e-10,None,None,None,None, , , , 
21, ,0.01,1.8738174228603868e-10,None,None,None,None, , , , 
22, ,0.01,2.154434690031887e-10,None,None,None,None, , , , 
23, ,0.01,2.477076355991714e-10,None,None,None,None, , , , 
24, ,0.01,2.8480358684358053e-10,None,None,None,None, , , , 
25, ,0.01,3.274549162877732e-10,None,None,None,None, , , , 
26, ,0.01,3.764935806792472e-10,None,None,None,None, , , , 
27, ,0.01,4.328761281083062e-10,None,None,None,None, , , , 
28, ,0.01,4.977023564332114e-10,None,None,None,None, , , , 
29, ,0.01,5.722367659350221e-10,None,None,None,None, , , , 
30, ,0.01,6.579332246575682e-10,None,None,None,None, , , , 
31, ,0.01,7.564633275546291e-10,None,None,None,None, , , , 
32, ,0.01,8.697490026177835e-10,None,None,None,None, , , , 
33, ,0.01,1e-09,None,None,None,None, , , , 
34, ,0.01,1.1497569953977357e-09,None,None,None,None, , , , 
35, ,0.01,1.3219411484660288e-09,None,None,None,None, , , , 
36, ,0.01,1.519911082952933e-09,None,None,None,None, , , , 
37, ,0.01,1.747528400007683e-09,None,None,None,None, , , , 
38, ,0.01,2.009233002565046e-09,None,None,None,None, , , , 
39, ,0.01,2.310129700083158e-09,None,None,None,None, , , , 
40, ,0.01,2.656087782946684e-09,None,None,None,None, , , , 
41, ,0.01,3.0538555088334124e-09,None,None,None,None, , , , 
42, ,0.01,3.5111917342151277e-09,None,None,None,None, , , , 
43, ,0.01,4.0370172585965495e-09,None,None,None,None, , , , 
44, ,0.01,4.641588833612792e-09,None,None,None,None, , , , 
45, ,0.01,5.336699231206302e-09,None,None,None,None, , , , 
46, ,0.01,6.135907273413188e-09,None,None,None,None, , , , 
47, ,0.01,7.054802310718632e-09,None,None,None,None, , , , 
48, ,0.01,8.111308307896891e-09,None,None,None,None, , , , 
49, ,0.01,9.32603346883218e-09,None,None,None,None, , , , 
50, ,0.01,1.0722672220103233e-08,None,None,None,None, , , , 
51, ,0.01,1.232846739442066e-08,None,None,None,None, , , , 
52, ,0.01,1.4174741629268047e-08,None,None,None,None, , , , 
53, ,0.01,1.6297508346206466e-08,None,None,None,None, , , , 
54, ,0.01,1.8738174228603867e-08,None,None,None,None, , , , 
55, ,0.01,2.1544346900318866e-08,None,None,None,None, , , , 
56, ,0.01,2.4770763559917138e-08,None,None,None,None, , , , 
57, ,0.01,2.8480358684358055e-08,None,None,None,None, , , , 
58, ,0.01,3.274549162877732e-08,None,None,None,None, , , , 
59, ,0.01,3.764935806792472e-08,None,None,None,None, , , , 
60, ,0.01,4.328761281083061e-08,None,None,None,None, , , , 
61, ,0.01,4.9770235643321133e-08,None,None,None,None, , , , 
62, ,0.01,5.72236765935022e-08,None,None,None,None, , , , 
63, ,0.01,6.579332246575682e-08,None,None,None,None, , , , 
64, ,0.01,7.56463327554629e-08,None,None,None,None, , , , 
65, ,0.01,8.697490026177834e-08,None,None,None,None, , , , 
66, ,0.01,1e-07,None,None,None,None, , , , 
67, ,0.01,1.1497569953977356e-07,None,None,None,None, , , , 
68, ,0.01,1.3219411484660288e-07,None,None,None,None, , , , 
69, ,0.01,1.519911082952933e-07,None,None,None,None, , , , 
70, ,0.01,1.7475284000076832e-07,None,None,None,None, , , , 
71, ,0.01,2.0092330025650461e-07,None,None,None,None, , , , 
72, ,0.01,2.310129700083158e-07,None,None,None,None, , , , 
73, ,0.01,2.6560877829466897e-07,None,None,None,None, , , , 
74, ,0.01,3.0538555088334193e-07,None,None,None,None, , , , 
