Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,Kappa0
0,500.0,0.01,1e-10,1.14216693493e+14,1.69138803228e-44,5.71083467465e+13,1445.96216455,6.611563841794739e+27
1, ,0.01,1.264855216855296e-10,1.82730573009e+14,1.69138803228e-44,9.13652865047e+13,3701.02005188, 
2, ,0.01,1.5998587196060573e-10,2.92343100568e+14,1.69138803228e-44,1.46171550284e+14,9472.9243362, 
3, ,0.01,2.0235896477251562e-10,4.6770765856e+14,1.69138803228e-44,2.3385382928e+14,24246.449678, 
4, ,0.01,2.559547922699533e-10,7.48266175774e+14,1.69138803228e-44,3.74133087887e+14,62059.8464372, 
5, ,0.01,3.23745754281764e-10,1.1971201659e+15,1.69138803228e-44,5.98560082949e+14,158845.146449, 
6, ,0.01,4.09491506238042e-10,1.91522313583e+15,1.69138803228e-44,9.57611567914e+14,406571.3266, 
7, ,0.01,5.179474679231202e-10,3.06408643385e+15,1.69138803228e-44,1.53204321692e+15,1040637.16103, 
8, ,0.01,6.551285568595495e-10,4.90210539882e+15,1.69138803228e-44,2.45105269941e+15,2663554.44788, 
9, ,0.01,8.28642772854686e-10,7.84267606672e+15,1.69138803228e-44,3.92133803336e+15,6817467.66668, 
10, ,0.01,1.0481131341546874e-09,1.25471736904e+16,1.69138803228e-44,6.2735868452e+15,17449524.0349, 
11, ,0.01,1.3257113655901108e-09,2.0073705235e+16,1.69138803228e-44,1.00368526175e+16,44662438.989, 
12, ,0.01,1.6768329368110098e-09,3.2115092355e+16,1.69138803228e-44,1.60575461775e+16,114313791.949, 
13, ,0.01,2.1209508879201927e-09,5.13796105351e+16,1.69138803228e-44,2.56898052675e+16,292584017.719, 
14, ,0.01,2.6826957952797275e-09,8.22001179245e+16,1.69138803228e-44,4.11000589623e+16,748851624.776, 
15, ,0.01,3.393221771895329e-09,1.31508575414e+17,1.69138803228e-44,6.57542877071e+16,1916593924.62, 
16, ,0.01,4.291934260128778e-09,2.10395141079e+17,1.69138803228e-44,1.0519757054e+17,4905091116.36, 
17, ,0.01,5.4286754393238595e-09,3.36602501019e+17,1.69138803228e-44,1.68301250509e+17,12552674920.1, 
18, ,0.01,6.866488450042997e-09,5.38516446296e+17,1.69138803228e-44,2.69258223148e+17,32120408390.4, 
19, ,0.01,8.68511373751352e-09,8.61550232258e+17,1.69138803228e-44,4.30775116129e+17,82177846880.8, 
20, ,0.01,1.0985411419875573e-08,1.37835865146e+18,1.69138803228e-44,6.89179325728e+17,210191304291.0, 
21, ,0.01,1.3894954943731358e-08,2.20517910728e+18,1.69138803228e-44,1.10258955364e+18,537393993277.0, 
22, ,0.01,1.7575106248547933e-08,3.52797502307e+18,1.69138803228e-44,1.76398751153e+18,1.37302933931e+12, 
23, ,0.01,2.222996482526196e-08,5.64426160321e+18,1.69138803228e-44,2.8221308016e+18,3.50429923055e+12, 
24, ,0.01,2.8117686979742307e-08,9.03002114163e+18,1.69138803228e-44,4.51501057082e+18,8.92848112735e+12, 
25, ,0.01,3.5564803062231293e-08,1.44467580617e+19,1.69138803228e-44,7.22337903083e+18,2.26862205149e+13, 
26, ,0.01,4.498432668969443e-08,2.3112771855e+19,1.69138803228e-44,1.15563859275e+19,5.73904911978e+13, 
27, ,0.01,5.689866029018303e-08,3.69771695865e+19,1.69138803228e-44,1.84885847932e+19,1.44167434243e+14, 
28, ,0.01,7.196856730011529e-08,5.91582471893e+19,1.69138803228e-44,2.95791235946e+19,3.58107918018e+14, 
29, ,0.01,9.102981779915227e-08,9.46448376024e+19,1.69138803228e-44,4.73224188012e+19,8.73680435116e+14, 
30, ,0.01,1.151395399326448e-07,1.51418368704e+20,1.69138803228e-44,7.57091843519e+19,2.07109248129e+15, 
31, ,0.01,1.4563484775012446e-07,2.42247997479e+20,1.69138803228e-44,1.2112399874e+20,4.68879505634e+15, 
32, ,0.01,1.8420699693267165e-07,3.87562571075e+20,1.69138803228e-44,1.93781285537e+20,9.8616511432e+15, 
33, ,0.01,2.329951810515372e-07,6.20045358727e+20,1.69138803228e-44,3.10022679363e+20,1.84367828038e+16, 
34, ,0.01,2.947051702551811e-07,9.9198497371e+20,1.69138803228e-44,4.95992486855e+20,2.85484978532e+16, 
35, ,0.01,3.727593720314938e-07,1.58703580991e+21,1.69138803228e-44,7.93517904954e+20,3.27004052799e+16, 
36, ,0.01,4.7148663634573897e-07,2.53903307881e+21,1.69138803228e-44,1.2695165394e+21,2.31236458245e+16, 
37, ,0.01,5.963623316594636e-07,4.0620942105e+21,1.69138803228e-44,2.03104710525e+21,7.55861731317e+15, 
38, ,0.01,7.543120063354624e-07,6.49877684253e+21,1.69138803228e-44,3.24938842127e+21,7.18932898494e+14, 
39, ,0.01,9.540954763499944e-07,1.03971247983e+22,1.69138803228e-44,5.19856239915e+21,9.48824815748e+12, 
40, ,0.01,1.2067926406393288e-06,1.66339307674e+22,1.69138803228e-44,8.31696538369e+21,5313829403.86, 
41, ,0.01,1.526417967175233e-06,2.66119391795e+22,1.69138803228e-44,1.33059695898e+22,18974.9814812, 
42, ,0.01,1.9306977288832498e-06,4.2575342942e+22,1.69138803228e-44,2.1287671471e+22,2.08232713993e-05, 
43, ,0.01,2.4420530945486497e-06,6.8114533646e+22,1.69138803228e-44,3.4057266823e+22,5.48988712872e-20, 
44, ,0.01,3.088843596477485e-06,1.08973630585e+23,1.69138803228e-44,5.44868152927e+22,1.48049842661e-43, 
45, ,0.01,3.906939937054621e-06,1.74342413099e+23,1.69138803228e-44,8.71712065496e+22,1.65292757142e-81, 
46, ,0.01,4.941713361323839e-06,2.78923229794e+23,1.69138803228e-44,1.39461614897e+23,1.8002870387e-142, 
47, ,0.01,6.250551925273976e-06,4.46237761286e+23,1.69138803228e-44,2.23118880643e+23,3.00945676974e-240, 
48, ,0.01,7.906043210907703e-06,7.13917373412e+23,1.69138803228e-44,3.56958686706e+23,0.0, 
49, ,0.01,1e-05,1.14216693493e+24,1.69138803228e-44,5.71083467465e+23,0.0, 
50, ,0.011513953993264476,1e-10,6.49877684274e+13,1.46414172665e-45,3.24938842137e+13,1090.7120094, 
51, ,0.011513953993264476,1.264855216855296e-10,1.03971247986e+14,1.46414172665e-45,5.19856239932e+13,2791.72096804, 
52, ,0.011513953993264476,1.5998587196060573e-10,1.66339307679e+14,1.46414172665e-45,8.31696538396e+13,7145.54580187, 
53, ,0.011513953993264476,2.0235896477251562e-10,2.66119391804e+14,1.46414172665e-45,1.33059695902e+14,18289.3554117, 
54, ,0.011513953993264476,2.559547922699533e-10,4.25753429434e+14,1.46414172665e-45,2.12876714717e+14,46812.503052, 
55, ,0.011513953993264476,3.23745754281764e-10,6.81145336482e+14,1.46414172665e-45,3.40572668241e+14,119818.733263, 
56, ,0.011513953993264476,4.09491506238042e-10,1.08973630589e+15,1.46414172665e-45,5.44868152945e+14,306681.413253, 
57, ,0.011513953993264476,5.179474679231202e-10,1.74342413105e+15,1.46414172665e-45,8.71712065524e+14,784964.072264, 
58, ,0.011513953993264476,6.551285568595495e-10,2.78923229803e+15,1.46414172665e-45,1.39461614901e+15,2009146.71328, 
59, ,0.011513953993264476,8.28642772854686e-10,4.46237761301e+15,1.46414172665e-45,2.2311888065e+15,5142479.77539, 
60, ,0.011513953993264476,1.0481131341546874e-09,7.13917373435e+15,1.46414172665e-45,3.56958686717e+15,13162313.124, 
61, ,0.011513953993264476,1.3257113655901108e-09,1.14216693497e+16,1.46414172665e-45,5.71083467484e+15,33689117.0455, 
62, ,0.011513953993264476,1.6768329368110098e-09,1.82730573015e+16,1.46414172665e-45,9.13652865077e+15,86227047.8504, 
63, ,0.011513953993264476,2.1209508879201927e-09,2.92343100577e+16,1.46414172665e-45,1.46171550289e+16,220694646.28, 
64, ,0.011513953993264476,2.6826957952797275e-09,4.67707658575e+16,1.46414172665e-45,2.33853829288e+16,564847338.318, 
65, ,0.011513953993264476,3.393221771895329e-09,7.48266175798e+16,1.46414172665e-45,3.74133087899e+16,1445626135.13, 
66, ,0.011513953993264476,4.291934260128778e-09,1.19712016594e+17,1.46414172665e-45,5.98560082969e+16,3699626535.26, 
67, ,0.011513953993264476,5.4286754393238595e-09,1.91522313589e+17,1.46414172665e-45,9.57611567945e+16,9467230814.95, 
68, ,0.011513953993264476,6.866488450042997e-09,3.06408643395e+17,1.46414172665e-45,1.53204321697e+17,24223068014.9, 
