Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,BranchingRatioFile,Resolution,Kappa0
0,750.0,0.01,1e-10,1.4618468821e+12,6.60472504024e-45,730923441046.0,12.3378967178,brtoeAdam.csv,75,5.6413785018955505e+25
1, ,0.01,1.168335485443295e-10,1.99543240604e+12,6.60472504024e-45,997716203018.0,22.9883986752, , , 
2, ,0.01,1.3650078065460138e-10,2.72378081167e+12,6.60472504024e-45,1.36189040584e+12,42.833079053, , , 
3, ,0.01,1.5947870582948242e-10,3.71798207125e+12,6.60472504024e-45,1.85899103563e+12,79.8088308843, , , 
4, ,0.01,1.86324631193156e-10,5.07507455186e+12,6.60472504024e-45,2.53753727593e+12,148.703346108, , , 
5, ,0.01,2.176896784350988e-10,6.92751638209e+12,6.60472504024e-45,3.46375819105e+12,277.07046496, , , 
6, ,0.01,2.543345761304649e-10,9.45611394153e+12,6.60472504024e-45,4.72805697077e+12,516.250790223, , , 
7, ,0.01,2.9714811046840127e-10,1.29076693498e+13,6.60472504024e-45,6.45383467489e+12,961.902262225, , , 
8, ,0.01,3.4716868189265595e-10,1.76190694268e+13,6.60472504024e-45,8.80953471338e+12,1792.25933985, , , 
9, ,0.01,4.056094904897649e-10,2.40501673116e+13,6.60472504024e-45,1.20250836558e+13,3339.41994095, , , 
10, ,0.01,4.738879609717651e-10,3.28286661291e+13,6.60472504024e-45,1.64143330645e+13,6222.15780306, , , 
11, ,0.01,5.536601209276803e-10,4.48113855447e+13,6.60472504024e-45,2.24056927723e+13,11593.4010281, , , 
12, ,0.01,6.468607661546321e-10,6.11678910906e+13,6.60472504024e-45,3.05839455453e+13,21601.342374, , , 
13, ,0.01,7.557503872394938e-10,8.34946488487e+13,6.60472504024e-45,4.17473244243e+13,40248.554627, , , 
14, ,0.01,8.829699955494082e-10,1.13970847483e+14,6.60472504024e-45,5.69854237416e+13,74992.8128619, , , 
15, ,0.01,1.0316051783820818e-09,1.55571096533e+14,6.60472504024e-45,7.77855482667e+13,139729.664845, , , 
16, ,0.01,1.2052609368708416e-09,2.12355761241e+14,6.60472504024e-45,1.0617788062e+14,260349.765096, , , 
17, ,0.01,1.4081491217648349e-09,2.89867271859e+14,6.60472504024e-45,1.44933635929e+14,485093.094131, , , 
18, ,0.01,1.6451905877536607e-09,3.9567108895e+14,6.60472504024e-45,1.97835544475e+14,903841.171, , , 
19, ,0.01,1.9221345439899134e-09,5.40094125241e+14,6.60472504024e-45,2.7004706262e+14,1684061.60673, , , 
20, ,0.01,2.2456979955397722e-09,7.37232697223e+14,6.60472504024e-45,3.68616348612e+14,3137778.00399, , , 
21, ,0.01,2.623728657777993e-09,1.00632838695e+15,6.60472504024e-45,5.03164193475e+14,5846342.52807, , , 
22, ,0.01,3.065395295056524e-09,1.37364610414e+15,6.60472504024e-45,6.86823052068e+14,10892894.655, , , 
23, ,0.01,3.581410100125456e-09,1.87503765558e+15,6.60472504024e-45,9.37518827789e+14,20295429.3957, , , 
24, ,0.01,4.184288507901576e-09,2.55944103743e+15,6.60472504024e-45,1.27972051872e+15,37813562.6851, , , 
25, ,0.01,4.8886527451139865e-09,3.49365699649e+15,6.60472504024e-45,1.74682849824e+15,70451348.5671, , , 
26, ,0.01,5.711586478126423e-09,4.7688690736e+15,6.60472504024e-45,2.3844345368e+15,131256434.337, , , 
27, ,0.01,6.6730491605731925e-09,6.50954351386e+15,6.60472504024e-45,3.25477175693e+15,244533106.773, , , 
28, ,0.01,7.79636013040522e-09,8.88557771347e+15,6.60472504024e-45,4.44278885674e+15,455549221.618, , , 
29, ,0.01,9.108764197647733e-09,1.21288829446e+16,6.60472504024e-45,6.06444147228e+15,848606672.308, , , 
