Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0
0,10000.0,0.01,2620971.5511740195,3.1437639639459263e+23
1, ,0.01002768031739658,2418567.206298276, 
2, ,0.010055437254790278,15103291.425167203, 
3, ,0.010083271024267678,2034924.2376023678, 
4, ,0.010111181838502424,3640708.382785296, 
5, ,0.010139169910756848,5725406.585967877, 
6, ,0.010167235454883608,1892424.1480736467, 
7, ,0.010195378685327302,7707240.371224671, 
8, ,0.01022359981712612,2989928.9840889326, 
9, ,0.010251899065913488,2187349.312858017, 
10, ,0.010280276647919707,20661802.591760147, 
11, ,0.010308732779973613,2060270.083832815, 
12, ,0.010337267679504231,3392021.392752196, 
13, ,0.010365881564542438,5887803.451571024, 
14, ,0.010394574653722628,1857965.9972146726, 
15, ,0.010423347166284376,8317864.766527664, 
16, ,0.010452199322074123,2762880.715100553, 
17, ,0.010481131341546858,2275108.061988257, 
18, ,0.010510143445767785,14719566.713232998, 
19, ,0.010539235856414027,1913555.3803439378, 
20, ,0.010568408795776323,4236525.613867459, 
21, ,0.010597662486760707,4184363.604613411, 
22, ,0.010626997152890243,1908455.3278852361, 
23, ,0.0106564130183067,16053093.038221793, 
24, ,0.010685910307772278,2170933.366327775, 
25, ,0.010715489246671327,2933186.7539975843, 
26, ,0.01074515006101208,6578238.910773929, 
27, ,0.010774892977428351,1798387.0654849506, 
28, ,0.01080471822318129,8812327.423981227, 
29, ,0.010834626026161113,2522660.228635388, 
30, ,0.01086461661488885,2410737.9767814893, 
31, ,0.010894690218518079,9785388.371868981, 
32, ,0.01092484706683668,1781258.3399277127, 
33, ,0.010955087390268592,6416981.291790823, 
34, ,0.010985411419875584,2832249.764615142, 
35, ,0.011015819387359,2190257.7719477736, 
36, ,0.011046311525061551,12565843.548256956, 
37, ,0.011076888065969064,1779154.3172682745, 
38, ,0.011107549243712309,5663907.218015738, 
39, ,0.011138295292568715,2948925.252620061, 
40, ,0.01116912644746423,2124304.5616701446, 
41, ,0.011200042943975063,13041989.356479693, 
42, ,0.011231045018329522,1756329.8225617127, 
43, ,0.011262132907409786,5873016.619932719, 
44, ,0.011293306848753744,2800844.3685658295, 
45, ,0.011324567080556784,2181743.5177574162, 
46, ,0.011355913841673651,10780784.989055423, 
47, ,0.011387347371620228,1715426.5301648485, 
48, ,0.011418867910575385,7262660.1055342015, 
49, ,0.011450475699382815,2456253.7540770555, 
50, ,0.011482170979552892,2413613.899916265, 
51, ,0.011513953993264476,7418584.786685033, 
52, ,0.011545824983366794,1695003.0107501526, 
53, ,0.011577784193381284,11486743.239910882, 
54, ,0.011609831867503471,2065970.1543419324, 
55, ,0.011641968250604815,3013605.620214666, 
56, ,0.011674193588234582,4633752.321037801, 
57, ,0.011706508126621726,1769973.8462331872, 
58, ,0.01173891211267678,27394152.346561514, 
59, ,0.011771405793993724,1763694.4567928016, 
60, ,0.011803989418851895,4660480.332444862, 
61, ,0.011836663236217857,2900043.151322483, 
62, ,0.011869427495747351,2094676.1626043804, 
63, ,0.01190228244778715,9444036.969492115, 
64, ,0.011935228343377,1639856.5407959926, 
65, ,0.011968265434251531,10803235.952091668, 
66, ,0.012001393972842193,1989889.766755114, 
67, ,0.012034614212279159,3156813.530662799, 
68, ,0.012067926406393287,3906618.7036245996, 
69, ,0.012101330809718036,1819159.4608453347, 
70, ,0.012134827677491435,15873274.965578735, 
71, ,0.012168417265658014,1626219.1749801964, 
72, ,0.012202099830870759,7655665.871682471, 
73, ,0.012235875630493085,2127103.8277941677, 
74, ,0.012269744922600795,2782967.2155829836, 
75, ,0.012303707965984064,4323023.607697278, 
76, ,0.012337765020149391,1750696.0970019356, 
77, ,0.0123719163453216,17247746.29291663, 
78, ,0.012406162202445843,1598403.3521237771, 
79, ,0.01244050285318956,8042393.888881273, 
