Counter,Epsilon,mA,Calculation
0,11.0,1.0,12.0
1,11.0,1.09090909091,12.090909090909999
2,11.0,1.18181818182,12.181818181820001
3,11.0,1.27272727273,12.27272727273
4,11.0,1.36363636364,12.36363636364
5,11.0,1.45454545455,12.454545454550001
6,11.0,1.54545454545,12.545454545449999
7,11.0,1.63636363636,12.63636363636
8,11.0,1.72727272727,12.72727272727
9,11.0,1.81818181818,12.818181818179999
10,11.0,1.90909090909,12.909090909090001
11,11.0,2.0,13.0
12,11.0,2.09090909091,13.090909090909999
13,11.0,2.18181818182,13.181818181820001
14,11.0,2.27272727273,13.27272727273
15,11.0,2.36363636364,13.363636363640001
16,11.0,2.45454545455,13.454545454550001
17,11.0,2.54545454545,13.545454545449999
18,11.0,2.63636363636,13.636363636359999
19,11.0,2.72727272727,13.72727272727
20,11.0,2.81818181818,13.818181818180001
21,11.0,2.90909090909,13.909090909090001
22,11.0,3.0,14.0
23,11.0,3.09090909091,14.090909090909999
24,11.0,3.18181818182,14.181818181819999
25,11.0,3.27272727273,14.27272727273
26,11.0,3.36363636364,14.363636363640001
27,11.0,3.45454545455,14.454545454550001
28,11.0,3.54545454545,14.545454545449999
29,11.0,3.63636363636,14.636363636359999
30,11.0,3.72727272727,14.72727272727
31,11.0,3.81818181818,14.818181818180001
32,11.0,3.90909090909,14.909090909090001
33,11.0,4.0,15.0
34,11.0,4.09090909091,15.090909090909999
35,11.0,4.18181818182,15.181818181819999
36,11.0,4.27272727273,15.27272727273
37,11.0,4.36363636364,15.363636363640001
38,11.0,4.45454545455,15.454545454550001
39,11.0,4.54545454545,15.545454545449999
40,11.0,4.63636363636,15.636363636359999
41,11.0,4.72727272727,15.72727272727
42,11.0,4.81818181818,15.818181818180001
43,11.0,4.90909090909,15.909090909090001
44,11.0,5.0,16.0
45,11.0,5.09090909091,16.090909090909999
46,11.0,5.18181818182,16.181818181819999
47,11.0,5.27272727273,16.272727272730002
48,11.0,5.36363636364,16.363636363640001
49,11.0,5.45454545455,16.454545454550001
50,11.0,5.54545454545,16.545454545449999
51,11.0,5.63636363636,16.636363636360002
52,11.0,5.72727272727,16.727272727269998
53,11.0,5.81818181818,16.818181818180001
54,11.0,5.90909090909,16.909090909090001
55,11.0,6.0,17.0
56,11.0,6.09090909091,17.090909090909999
57,11.0,6.18181818182,17.181818181819999
58,11.0,6.27272727273,17.272727272730002
59,11.0,6.36363636364,17.363636363639998
60,11.0,6.45454545455,17.454545454550001
61,11.0,6.54545454545,17.545454545449999
62,11.0,6.63636363636,17.636363636360002
63,11.0,6.72727272727,17.727272727269998
64,11.0,6.81818181818,17.818181818180001
65,11.0,6.90909090909,17.909090909089997
66,11.0,7.0,18.0
67,11.0,7.09090909091,18.090909090910003
68,11.0,7.18181818182,18.181818181819999
69,11.0,7.27272727273,18.272727272730002
70,11.0,7.36363636364,18.363636363639998
71,11.0,7.45454545455,18.454545454550001
72,11.0,7.54545454545,18.545454545449999
73,11.0,7.63636363636,18.636363636360002
74,11.0,7.72727272727,18.727272727269998
75,11.0,7.81818181818,18.818181818180001
76,11.0,7.90909090909,18.909090909089997
77,11.0,8.0,19.0
78,11.0,8.09090909091,19.090909090910003
79,11.0,8.18181818182,19.181818181819999
80,11.0,8.27272727273,19.272727272730002
81,11.0,8.36363636364,19.363636363639998
82,11.0,8.45454545455,19.454545454550001
83,11.0,8.54545454545,19.545454545449999
84,11.0,8.63636363636,19.636363636360002
85,11.0,8.72727272727,None
86,11.0,8.81818181818,None
87,11.0,8.90909090909,None
88,11.0,9.0,None
89,11.0,9.09090909091,None
90,11.0,9.18181818182,None
91,11.0,9.27272727273,None
92,11.0,9.36363636364,None
93,11.0,9.45454545455,None
94,11.0,9.54545454545,None
95,11.0,9.63636363636,None
96,11.0,9.72727272727,None
97,11.0,9.81818181818,None
98,11.0,9.90909090909,None
99,11.0,10.0,None
100,11.0909090909,1.0,None
101,11.0909090909,1.09090909091,None
102,11.0909090909,1.18181818182,None
103,11.0909090909,1.27272727273,None
104,11.0909090909,1.36363636364,None
105,11.0909090909,1.45454545455,None
106,11.0909090909,1.54545454545,None
107,11.0909090909,1.63636363636,None
108,11.0909090909,1.72727272727,None
109,11.0909090909,1.81818181818,None
110,11.0909090909,1.90909090909,None
111,11.0909090909,2.0,None
112,11.0909090909,2.09090909091,None
113,11.0909090909,2.18181818182,None
114,11.0909090909,2.27272727273,None
115,11.0909090909,2.36363636364,None
116,11.0909090909,2.45454545455,None
117,11.0909090909,2.54545454545,None
118,11.0909090909,2.63636363636,None
119,11.0909090909,2.72727272727,None
120,11.0909090909,2.81818181818,None
121,11.0909090909,2.90909090909,None
122,11.0909090909,3.0,None
123,11.0909090909,3.09090909091,None
124,11.0909090909,3.18181818182,None
125,11.0909090909,3.27272727273,None
126,11.0909090909,3.36363636364,None
127,11.0909090909,3.45454545455,None
128,11.0909090909,3.54545454545,None
129,11.0909090909,3.63636363636,None
130,11.0909090909,3.72727272727,None
131,11.0909090909,3.81818181818,None
132,11.0909090909,3.90909090909,None
133,11.0909090909,4.0,None
134,11.0909090909,4.09090909091,None
135,11.0909090909,4.18181818182,None
136,11.0909090909,4.27272727273,None
137,11.0909090909,4.36363636364,None
138,11.0909090909,4.45454545455,None
139,11.0909090909,4.54545454545,None
140,11.0909090909,4.63636363636,None
141,11.0909090909,4.72727272727,None
142,11.0909090909,4.81818181818,None
143,11.0909090909,4.90909090909,None
144,11.0909090909,5.0,None
145,11.0909090909,5.09090909091,None
146,11.0909090909,5.18181818182,None
147,11.0909090909,5.27272727273,None
148,11.0909090909,5.36363636364,None
149,11.0909090909,5.45454545455,None
150,11.0909090909,5.54545454545,None
151,11.0909090909,5.63636363636,None
152,11.0909090909,5.72727272727,None
153,11.0909090909,5.81818181818,None
154,11.0909090909,5.90909090909,None
155,11.0909090909,6.0,None
156,11.0909090909,6.09090909091,None
157,11.0909090909,6.18181818182,None
158,11.0909090909,6.27272727273,None
159,11.0909090909,6.36363636364,None
160,11.0909090909,6.45454545455,None
161,11.0909090909,6.54545454545,None
162,11.0909090909,6.63636363636,None
163,11.0909090909,6.72727272727,None
164,11.0909090909,6.81818181818,None
165,11.0909090909,6.90909090909,None
166,11.0909090909,7.0,None
167,11.0909090909,7.09090909091,None
168,11.0909090909,7.18181818182,None
169,11.0909090909,7.27272727273,None
170,11.0909090909,7.36363636364,None
171,11.0909090909,7.45454545455,None
172,11.0909090909,7.54545454545,None
173,11.0909090909,7.63636363636,None
174,11.0909090909,7.72727272727,None
175,11.0909090909,7.81818181818,None
176,11.0909090909,7.90909090909,None
177,11.0909090909,8.0,None
178,11.0909090909,8.09090909091,None
179,11.0909090909,8.18181818182,None
180,11.0909090909,8.27272727273,None
181,11.0909090909,8.36363636364,None
182,11.0909090909,8.45454545455,None
183,11.0909090909,8.54545454545,None
184,11.0909090909,8.63636363636,None
185,11.0909090909,8.72727272727,None
186,11.0909090909,8.81818181818,None
187,11.0909090909,8.90909090909,None
188,11.0909090909,9.0,None
189,11.0909090909,9.09090909091,None
190,11.0909090909,9.18181818182,None
191,11.0909090909,9.27272727273,None
192,11.0909090909,9.36363636364,None
193,11.0909090909,9.45454545455,None
194,11.0909090909,9.54545454545,None
195,11.0909090909,9.63636363636,None
196,11.0909090909,9.72727272727,None
197,11.0909090909,9.81818181818,None
198,11.0909090909,9.90909090909,None
199,11.0909090909,10.0,None
200,11.1818181818,1.0,None
201,11.1818181818,1.09090909091,None
202,11.1818181818,1.18181818182,None
203,11.1818181818,1.27272727273,None
204,11.1818181818,1.36363636364,None
205,11.1818181818,1.45454545455,None
206,11.1818181818,1.54545454545,None
207,11.1818181818,1.63636363636,None
208,11.1818181818,1.72727272727,None
209,11.1818181818,1.81818181818,None
210,11.1818181818,1.90909090909,None
211,11.1818181818,2.0,None
212,11.1818181818,2.09090909091,None
213,11.1818181818,2.18181818182,None
214,11.1818181818,2.27272727273,None
215,11.1818181818,2.36363636364,None
216,11.1818181818,2.45454545455,None
217,11.1818181818,2.54545454545,None
218,11.1818181818,2.63636363636,None
219,11.1818181818,2.72727272727,None
220,11.1818181818,2.81818181818,None
221,11.1818181818,2.90909090909,None
222,11.1818181818,3.0,None
223,11.1818181818,3.09090909091,None
224,11.1818181818,3.18181818182,None
225,11.1818181818,3.27272727273,None
226,11.1818181818,3.36363636364,None
227,11.1818181818,3.45454545455,None
228,11.1818181818,3.54545454545,None
229,11.1818181818,3.63636363636,None
230,11.1818181818,3.72727272727,None
231,11.1818181818,3.81818181818,None
232,11.1818181818,3.90909090909,None
233,11.1818181818,4.0,None
234,11.1818181818,4.09090909091,None
235,11.1818181818,4.18181818182,None
236,11.1818181818,4.27272727273,None
237,11.1818181818,4.36363636364,None
238,11.1818181818,4.45454545455,None
239,11.1818181818,4.54545454545,None
240,11.1818181818,4.63636363636,None
241,11.1818181818,4.72727272727,None
242,11.1818181818,4.81818181818,None
243,11.1818181818,4.90909090909,None
244,11.1818181818,5.0,None
245,11.1818181818,5.09090909091,None
246,11.1818181818,5.18181818182,None
247,11.1818181818,5.27272727273,None
248,11.1818181818,5.36363636364,None
249,11.1818181818,5.45454545455,None
250,11.1818181818,5.54545454545,None
251,11.1818181818,5.63636363636,None
252,11.1818181818,5.72727272727,None
253,11.1818181818,5.81818181818,None
254,11.1818181818,5.90909090909,None
255,11.1818181818,6.0,None
256,11.1818181818,6.09090909091,None
257,11.1818181818,6.18181818182,None
258,11.1818181818,6.27272727273,None
