Date,loopCounter,m_A,epsilon,tauValue
May/15/2017: 09:13:05, , , , 
.,0,1.0,11.0,12.0
.,1,2.0,11.0,13.0
.,2,3.0,11.0,14.0
.,3,4.0,11.0,15.0
.,4,5.0,11.0,16.0
.,5,6.0,11.0,17.0
.,6,7.0,11.0,18.0
.,7,8.0,11.0,19.0
.,8,9.0,11.0,20.0
.,9,10.0,11.0,21.0
.,10,1.0,12.0,13.0
.,11,2.0,12.0,14.0
.,12,3.0,12.0,15.0
.,13,4.0,12.0,16.0
.,14,5.0,12.0,17.0
.,15,6.0,12.0,18.0
.,16,7.0,12.0,19.0
.,17,8.0,12.0,20.0
.,18,9.0,12.0,21.0
.,19,10.0,12.0,22.0
.,20,1.0,13.0,14.0
.,21,2.0,13.0,15.0
.,22,3.0,13.0,16.0
.,23,4.0,13.0,17.0
.,24,5.0,13.0,18.0
.,25,6.0,13.0,19.0
.,26,7.0,13.0,20.0
.,27,8.0,13.0,21.0
.,28,9.0,13.0,22.0
.,29,10.0,13.0,23.0
.,30,1.0,14.0,15.0
.,31,2.0,14.0,16.0
.,32,3.0,14.0,17.0
.,33,4.0,14.0,18.0
.,34,5.0,14.0,19.0
.,35,6.0,14.0,20.0
.,36,7.0,14.0,21.0
.,37,8.0,14.0,22.0
.,38,9.0,14.0,23.0
.,39,10.0,14.0,24.0
.,40,1.0,15.0,16.0
.,41,2.0,15.0,17.0
.,42,3.0,15.0,18.0
.,43,4.0,15.0,19.0
.,44,5.0,15.0,20.0
.,45,6.0,15.0,21.0
.,46,7.0,15.0,22.0
.,47,8.0,15.0,23.0
.,48,9.0,15.0,24.0
.,49,10.0,15.0,25.0
May/15/2017: 09:16:01, , , , 
.,0,1.0,11.0,12.0
.,1,2.0,11.0,13.0
.,2,3.0,11.0,14.0
.,3,4.0,11.0,15.0
.,4,5.0,11.0,16.0
.,5,6.0,11.0,17.0
.,6,7.0,11.0,18.0
.,7,8.0,11.0,19.0
.,8,9.0,11.0,20.0
.,9,10.0,11.0,21.0
.,10,1.0,12.0,13.0
.,11,2.0,12.0,14.0
.,12,3.0,12.0,15.0
.,13,4.0,12.0,16.0
.,14,5.0,12.0,17.0
.,15,6.0,12.0,18.0
.,16,7.0,12.0,19.0
.,17,8.0,12.0,20.0
.,18,9.0,12.0,21.0
.,19,10.0,12.0,22.0
.,20,1.0,13.0,14.0
.,21,2.0,13.0,15.0
.,22,3.0,13.0,16.0
.,23,4.0,13.0,17.0
.,24,5.0,13.0,18.0
.,25,6.0,13.0,19.0
.,26,7.0,13.0,20.0
.,27,8.0,13.0,21.0
.,28,9.0,13.0,22.0
.,29,10.0,13.0,23.0
.,30,1.0,14.0,15.0
.,31,2.0,14.0,16.0
.,32,3.0,14.0,17.0
.,33,4.0,14.0,18.0
.,34,5.0,14.0,19.0
.,35,6.0,14.0,20.0
.,36,7.0,14.0,21.0
.,37,8.0,14.0,22.0
.,38,9.0,14.0,23.0
.,39,10.0,14.0,24.0
.,40,1.0,15.0,16.0
.,41,2.0,15.0,17.0
.,42,3.0,15.0,18.0
.,43,4.0,15.0,19.0
.,44,5.0,15.0,20.0
.,45,6.0,15.0,21.0
.,46,7.0,15.0,22.0
.,47,8.0,15.0,23.0
.,48,9.0,15.0,24.0
.,49,10.0,15.0,25.0
