,0,1
O16,[9.2927273415801074e-06],[4.3177390722475246e-08]
Mg24,[1.1468617657559748e-05],[6.5764595487645623e-08]
Al27,[1.2199436224533739e-05],[7.4413122098233003e-08]
Si28,[1.2435268691333572e-05],[7.7317953712830483e-08]
P31,[1.2896579920771348e-05],[8.3160886826421363e-08]
S32,[1.3345298841062214e-05],[8.9048500578628236e-08]
Ca40,[1.5036860785234469e-05],[1.1305359113726109e-07]
Cr52,[1.7347596736017776e-05],[1.5046955625774728e-07]
Fe56,[1.8073763652112098e-05],[1.633304662762042e-07]
Ni58,[1.8606846062041008e-05],[1.7310736018824547e-07]
